Start,End,Sleep quality,Time in bed,Heart rate,Activity (steps),Stressful day,Drank coffee,Drank tea,Ate late,Worked out
22:57:49,07:30:13,100.0,8.533333333333333,59.0,0,0,0,0,0,0
21:17:50,21:33:54,3.0,0.26666666666666666,72.0,0,1,0,0,0,0
22:42:49,07:13:31,98.0,8.5,57.0,0,0,0,0,0,0
22:31:01,06:03:01,65.0,7.533333333333333,0.0,0,0,0,0,0,0
22:12:10,04:56:35,72.0,6.733333333333333,68.0,0,0,1,1,0,0
00:34:57,07:47:23,83.0,7.2,60.0,0,0,1,1,0,0
00:23:06,07:37:09,78.0,7.233333333333333,0.0,0,0,0,1,0,0
21:34:44,04:53:34,78.0,7.3,57.0,0,0,1,0,1,0
21:32:25,05:00:03,69.0,7.45,56.0,0,0,1,1,0,1
21:24:56,05:00:02,74.0,7.583333333333333,64.0,0,0,0,1,0,1
20:59:58,06:19:20,81.0,9.316666666666666,62.0,0,1,1,1,0,0
22:58:18,06:14:58,88.0,7.266666666666667,58.0,0,0,1,1,0,0
22:27:58,07:29:00,77.0,9.016666666666667,65.0,0,0,1,1,0,0
22:38:24,07:28:59,89.0,8.833333333333334,65.0,0,0,1,1,0,0
22:12:07,06:20:29,78.0,8.133333333333333,53.0,0,0,0,1,0,0
21:01:46,06:13:23,100.0,9.183333333333334,65.0,0,0,0,1,0,1
22:14:29,06:20:33,100.0,8.1,55.0,0,0,1,1,0,0
21:48:26,05:02:05,88.0,7.216666666666667,60.0,0,0,1,1,0,1
21:32:07,04:54:42,87.0,7.366666666666666,60.0,0,0,0,1,0,0
02:11:57,09:03:37,83.0,6.85,94.0,0,0,1,1,0,0
23:55:16,07:47:15,93.0,7.85,57.0,0,0,1,1,0,0
21:51:53,05:04:18,58.0,7.2,67.0,0,0,1,0,0,0
05:06:38,06:20:29,16.0,1.2166666666666668,58.0,0,0,0,0,0,0
21:45:19,05:45:37,75.0,8.0,54.0,0,0,1,1,0,1
21:42:37,05:45:22,80.0,8.033333333333333,60.0,0,0,1,1,0,1
22:34:35,06:17:22,87.0,7.7,75.0,0,0,1,1,0,1
20:55:02,06:14:59,87.0,9.316666666666666,58.0,0,0,1,0,0,0
22:36:21,06:11:49,83.0,7.583333333333333,66.0,0,1,1,1,0,0
21:43:16,05:20:42,76.0,7.616666666666667,57.0,0,1,1,1,0,0
22:23:40,05:29:11,67.0,7.083333333333333,63.0,0,0,1,1,0,1
00:13:46,08:17:30,93.0,8.05,62.0,0,1,1,1,0,0
21:55:59,05:09:06,64.0,7.216666666666667,56.0,0,0,1,1,0,0
22:30:35,06:20:29,75.0,7.816666666666666,61.0,0,0,0,1,0,0
22:47:33,06:20:21,72.0,7.533333333333333,61.0,0,0,1,1,0,0
23:03:06,06:10:44,70.0,7.116666666666666,57.0,0,0,0,1,0,1
22:30:34,06:48:30,89.0,8.283333333333333,61.0,0,0,1,1,0,0
21:55:43,06:13:22,85.0,8.283333333333333,58.0,0,0,1,0,0,0
22:20:46,06:20:51,59.0,8.0,60.0,0,0,1,0,0,0
21:53:45,05:30:25,67.0,7.6,57.0,0,0,1,1,0,1
22:34:54,05:24:22,69.0,6.816666666666666,53.0,0,0,1,1,0,1
22:16:27,05:20:44,74.0,7.066666666666666,60.0,0,0,1,0,0,0
00:02:30,06:16:11,78.0,6.216666666666667,65.0,0,0,1,1,0,1
22:20:00,05:05:23,70.0,6.75,55.0,0,0,1,1,0,0
22:39:45,06:20:14,77.0,7.666666666666667,66.0,0,1,1,1,0,0
00:31:24,07:32:22,72.0,7.0,55.0,0,0,1,1,0,1
22:54:00,07:49:15,92.0,8.916666666666666,56.0,0,0,1,1,0,0
22:18:00,06:20:17,87.0,8.033333333333333,60.0,0,0,1,0,0,0
22:30:11,06:20:07,69.0,7.816666666666666,62.0,0,0,1,1,0,0
01:22:32,07:16:32,65.0,5.9,0.0,0,0,1,1,0,0
21:42:32,05:37:28,90.0,7.9,61.0,0,0,0,1,0,1
20:14:26,05:44:08,88.0,9.483333333333333,62.0,0,0,1,0,0,0
21:47:16,05:30:18,61.0,7.716666666666667,62.0,0,0,1,1,0,1
20:53:47,06:13:31,54.0,9.316666666666666,68.0,0,1,1,1,0,1
22:29:33,06:20:18,86.0,7.833333333333333,58.0,0,0,1,1,0,0
22:54:58,06:20:12,69.0,7.416666666666667,61.0,0,0,1,0,0,0
21:28:08,06:18:59,99.0,8.833333333333334,67.0,0,0,1,1,0,0
22:17:17,06:18:56,82.0,8.016666666666667,71.0,0,0,1,1,0,0
21:39:44,05:19:55,77.0,7.666666666666667,63.0,0,0,1,1,0,0
21:44:36,05:20:52,72.0,7.6,60.0,0,0,1,1,0,1
21:50:56,04:51:22,82.0,7.0,62.0,0,0,0,0,0,0
21:48:42,05:21:34,75.0,7.533333333333333,54.0,0,0,1,1,0,0
23:57:46,08:01:27,91.0,8.05,62.0,0,0,1,1,0,1
01:10:15,08:00:08,74.0,6.816666666666666,66.0,0,0,1,0,0,0
23:07:46,07:30:02,75.0,8.366666666666667,65.0,0,0,1,1,0,0
22:11:07,06:19:05,84.0,8.116666666666667,58.0,0,0,1,0,0,0
22:00:06,05:22:21,76.0,7.366666666666666,0.0,0,0,1,1,0,1
21:23:43,05:26:51,92.0,8.05,54.0,0,0,0,1,0,1
22:30:48,05:28:23,82.0,6.95,64.0,0,0,1,0,0,1
22:17:15,05:50:10,84.0,7.533333333333333,55.0,0,0,1,1,0,1
23:13:30,07:31:06,95.0,8.283333333333333,0.0,0,0,1,1,0,0
21:22:37,06:15:41,79.0,8.883333333333333,55.0,0,0,1,1,0,0
21:17:36,06:18:55,100.0,9.016666666666667,51.0,0,0,0,1,0,0
22:09:38,05:02:01,81.0,6.866666666666667,52.0,0,0,0,1,0,0
21:56:08,05:23:08,80.0,7.45,0.0,0,0,1,1,0,1
23:51:30,07:41:42,85.0,7.833333333333333,0.0,0,0,0,1,0,1
23:16:56,06:53:03,97.0,7.6,52.0,0,0,1,1,0,0
22:04:59,05:41:13,84.0,7.6,58.0,0,0,1,1,0,0
22:19:39,05:45:04,78.0,7.416666666666667,57.0,0,0,0,1,0,1
00:28:55,07:30:14,81.0,7.016666666666667,63.0,0,0,1,1,0,1
23:20:50,06:20:07,82.0,6.983333333333333,58.0,0,0,1,1,0,0
23:50:04,07:22:19,59.0,7.533333333333333,53.0,0,1,1,1,0,1
22:37:59,06:18:56,77.0,7.666666666666667,58.0,0,0,1,1,0,0
21:31:35,05:11:23,77.0,7.65,67.0,0,1,1,1,0,0
21:46:46,05:13:42,87.0,7.433333333333334,0.0,0,1,1,1,0,1
22:53:27,07:53:35,100.0,9.0,61.0,0,0,1,1,0,0
21:51:16,04:59:06,70.0,7.116666666666666,64.0,0,0,1,1,1,0
21:35:56,04:57:17,77.0,7.35,59.0,0,0,0,1,0,1
21:41:45,05:00:17,53.0,7.3,59.0,0,0,1,0,0,1
23:13:44,06:06:21,77.0,6.866666666666667,60.0,0,1,1,1,0,0
22:20:45,06:07:10,65.0,7.766666666666667,91.0,0,0,1,0,0,1
22:23:26,06:18:20,83.0,7.9,62.0,0,0,1,1,0,1
21:47:25,05:21:38,50.0,7.566666666666666,59.0,0,0,1,1,1,1
21:22:59,04:57:13,89.0,7.566666666666666,54.0,0,0,0,1,0,1
01:58:47,07:01:52,61.0,5.05,75.0,0,1,1,1,0,1
22:11:42,05:00:10,66.0,6.8,50.0,0,0,1,1,0,1
21:57:02,05:00:13,75.0,7.05,55.0,0,0,0,1,0,1
22:04:51,04:52:48,72.0,6.783333333333333,59.0,0,0,0,1,0,1
22:49:01,06:17:50,79.0,7.466666666666667,51.0,0,0,1,1,0,0
21:03:11,07:49:16,93.0,10.766666666666667,59.0,0,1,0,1,0,0
22:39:06,06:20:30,91.0,7.683333333333334,59.0,0,0,0,0,0,0
22:22:50,05:25:20,59.0,7.033333333333333,62.0,0,0,0,1,0,1
22:47:04,05:25:14,74.0,6.633333333333333,60.0,0,0,1,1,0,1
00:01:49,07:35:15,73.0,7.55,0.0,0,0,1,0,0,1
22:58:17,06:45:23,67.0,7.783333333333333,61.0,0,0,1,1,0,0
22:05:49,05:29:03,85.0,7.383333333333334,0.0,0,0,1,1,0,0
22:18:17,05:14:36,69.0,6.933333333333334,0.0,0,0,1,1,0,1
23:10:34,07:00:03,81.0,7.816666666666666,52.0,0,0,1,1,0,1
23:16:56,06:20:08,72.0,7.05,76.0,0,0,1,0,0,0
22:20:07,06:19:46,76.0,7.983333333333333,57.0,0,0,1,1,0,1
22:19:31,05:20:25,78.0,7.0,64.0,0,0,1,1,0,0
22:20:19,03:45:30,70.0,5.416666666666667,0.0,0,0,1,1,0,1
03:45:52,05:41:01,23.0,1.9166666666666665,57.0,0,0,0,0,0,0
22:01:10,05:40:26,75.0,7.65,58.0,0,0,1,0,0,0
21:57:12,05:16:21,69.0,7.316666666666666,0.0,0,0,1,1,0,1
21:07:02,05:01:10,83.0,7.9,0.0,0,0,1,1,0,1
21:12:48,06:17:34,92.0,9.066666666666666,68.0,0,1,0,1,0,1
22:54:00,06:19:02,74.0,7.416666666666667,0.0,0,0,1,0,0,1
22:38:25,06:12:56,81.0,7.566666666666666,0.0,0,0,1,1,0,0
22:31:51,06:20:20,88.0,7.8,64.0,0,0,1,1,0,1
22:21:15,06:20:16,69.0,7.983333333333333,0.0,0,1,1,1,0,1
21:28:17,05:00:04,63.0,7.516666666666667,0.0,0,0,1,0,0,0
22:26:07,04:46:50,71.0,6.333333333333333,0.0,0,0,1,0,0,1
21:54:38,05:07:41,78.0,7.216666666666667,0.0,0,0,1,0,0,1
22:09:26,04:57:46,76.0,6.8,0.0,0,0,1,1,0,1
04:58:36,05:45:00,10.0,0.7666666666666667,0.0,0,0,0,0,0,0
22:37:23,06:20:50,82.0,7.716666666666667,58.0,0,1,1,0,0,1
22:29:21,08:00:42,98.0,9.516666666666667,69.0,0,1,1,0,0,0
21:38:23,06:09:35,69.0,8.516666666666667,74.0,0,0,1,0,0,0
22:01:21,05:04:47,68.0,7.05,0.0,0,0,1,1,0,1
22:02:34,05:45:33,79.0,7.7,67.0,0,0,1,1,0,1
22:29:37,06:44:02,86.0,8.233333333333333,0.0,0,1,1,0,0,1
22:29:51,06:20:13,93.0,7.833333333333333,58.0,0,0,1,0,0,1
21:32:08,05:39:59,68.0,8.116666666666667,58.0,0,1,1,1,0,1
23:06:06,05:40:14,71.0,6.566666666666666,61.0,0,0,1,1,0,1
21:40:08,05:40:15,88.0,8.0,64.0,0,0,1,0,0,1
01:41:20,08:31:02,77.0,6.816666666666666,64.0,0,0,1,1,0,1
22:55:10,08:02:09,97.0,9.1,0.0,0,0,1,0,0,1
23:45:43,00:00:48,3.0,0.25,0.0,0,0,1,0,0,1
00:26:02,07:25:42,88.0,6.983333333333333,68.0,0,0,1,0,0,1
21:46:15,05:00:34,71.0,7.233333333333333,0.0,0,1,1,0,0,1
21:17:10,04:55:48,81.0,7.633333333333333,0.0,0,0,1,1,0,1
21:35:13,04:55:01,78.0,7.316666666666666,57.0,0,0,1,1,0,1
00:19:09,07:56:38,97.0,7.616666666666667,54.0,0,0,1,0,0,1
00:01:12,05:03:22,65.0,5.033333333333333,0.0,0,0,1,0,0,0
21:11:19,06:09:21,72.0,8.966666666666667,50.0,0,0,1,1,0,1
23:41:21,07:27:56,84.0,7.766666666666667,0.0,0,0,1,0,0,0
21:44:20,04:45:16,58.0,7.0,56.0,0,0,1,0,0,0
22:13:05,05:27:25,85.0,7.233333333333333,0.0,0,0,1,1,0,1
22:33:21,06:45:33,90.0,8.2,57.0,0,0,1,1,0,1
21:48:50,06:01:07,79.0,8.2,51.0,0,0,1,0,0,1
22:36:23,06:00:11,69.0,7.383333333333334,58.0,0,0,1,0,0,0
21:52:41,06:00:13,88.0,8.116666666666667,0.0,0,1,1,0,0,0
21:59:47,05:49:06,90.0,7.816666666666666,52.0,0,0,1,0,0,0
21:59:05,05:29:52,83.0,7.5,52.0,0,0,1,1,1,0
21:57:25,05:45:28,67.0,7.8,0.0,0,0,1,0,0,0
21:14:31,05:45:18,90.0,8.5,0.0,0,1,1,0,0,0
21:19:00,05:45:10,93.0,8.433333333333334,60.0,0,0,0,0,0,0
22:01:03,06:00:39,85.0,7.983333333333333,62.0,0,0,1,1,0,0
22:00:05,06:00:18,84.0,8.0,66.0,0,0,1,0,0,0
22:14:35,06:00:59,77.0,7.766666666666667,0.0,0,0,1,0,0,0
22:00:12,06:00:07,85.0,7.983333333333333,65.0,0,0,0,1,0,0
23:36:43,07:10:29,77.0,7.55,57.0,0,0,1,0,0,0
22:54:41,06:59:15,87.0,8.066666666666666,0.0,0,0,1,0,0,0
22:45:57,06:13:08,84.0,7.45,61.0,0,0,1,1,0,0
22:03:28,06:04:55,86.0,8.016666666666667,0.0,0,0,0,1,0,1
22:40:40,06:10:24,83.0,7.483333333333333,0.0,0,0,1,1,0,1
22:10:47,04:57:40,77.0,6.766666666666667,0.0,0,0,1,1,0,1
00:06:20,07:41:35,81.0,7.583333333333333,0.0,0,0,1,0,0,1
22:03:28,05:50:31,81.0,7.783333333333333,0.0,0,0,1,0,0,0
22:33:49,06:30:22,83.0,7.933333333333334,0.0,0,1,1,0,0,1
22:14:42,05:55:16,70.0,7.666666666666667,0.0,0,0,1,0,0,1
21:59:14,06:20:08,80.0,8.333333333333334,59.0,0,0,1,1,0,1
22:57:35,06:20:12,60.0,7.366666666666666,56.0,0,0,1,1,0,1
00:31:33,06:55:11,55.0,6.383333333333334,0.0,0,0,1,0,0,0
22:01:37,06:48:52,91.0,8.783333333333333,0.0,0,0,1,0,0,0
22:07:26,06:15:54,79.0,8.133333333333333,55.0,0,0,1,1,0,1
21:34:08,06:15:39,81.0,8.683333333333334,58.0,0,0,1,1,0,1
21:37:35,05:07:03,77.0,7.483333333333333,49.0,0,0,1,1,0,1
22:37:41,06:00:13,83.0,7.366666666666666,0.0,0,0,1,1,1,1
22:57:29,07:00:25,82.0,8.033333333333333,61.0,0,0,0,1,0,0
21:12:50,05:15:43,90.0,8.033333333333333,60.0,0,0,0,1,0,1
22:54:50,06:20:27,89.0,7.416666666666667,58.0,0,0,1,1,1,1
23:57:47,06:14:26,62.0,6.266666666666667,55.0,0,0,1,1,0,1
00:09:08,07:26:26,69.0,7.283333333333333,57.0,0,0,1,0,0,1
00:27:25,08:58:25,100.0,8.516666666666667,50.0,0,1,1,0,0,0
21:59:10,06:00:45,74.0,8.016666666666667,0.0,0,0,1,1,1,1
22:19:10,04:59:56,59.0,6.666666666666667,0.0,0,0,1,0,0,1
05:00:29,06:00:39,13.0,1.0,0.0,0,0,0,0,0,0
22:40:34,06:20:36,68.0,7.666666666666667,65.0,0,0,0,1,0,1
22:12:48,06:21:06,67.0,8.133333333333333,58.0,0,0,1,1,0,1
00:45:53,07:37:31,57.0,6.85,0.0,0,0,1,1,0,0
21:52:46,06:20:17,67.0,8.45,0.0,0,0,1,0,0,0
21:38:02,06:20:20,88.0,8.7,62.0,0,0,1,1,0,0
22:41:23,06:20:28,77.0,7.65,53.0,0,0,1,1,0,0
21:46:35,05:30:45,80.0,7.733333333333333,70.0,0,0,1,1,0,1
00:32:20,08:12:45,77.0,7.666666666666667,0.0,0,0,1,1,0,1
22:38:13,06:33:35,81.0,7.916666666666667,0.0,0,0,1,1,0,0
23:09:15,06:05:04,77.0,6.916666666666667,65.0,0,0,1,1,0,0
21:34:17,05:35:51,78.0,8.016666666666667,0.0,0,0,1,0,0,1
22:28:47,06:20:36,83.0,7.85,53.0,0,0,0,1,0,1
22:30:45,06:10:51,81.0,7.666666666666667,57.0,0,0,0,1,0,1
01:01:48,07:50:17,50.0,6.8,0.0,0,0,1,1,0,0
22:00:53,06:10:32,83.0,8.15,55.0,0,0,1,1,0,1
22:46:00,06:09:53,75.0,7.383333333333334,0.0,0,0,1,1,0,1
22:49:17,06:00:43,65.0,7.183333333333334,0.0,0,0,1,1,0,1
21:36:52,05:29:48,77.0,7.866666666666667,0.0,0,0,1,1,0,1
00:19:42,08:13:55,93.0,7.9,98.0,0,0,1,1,0,1
23:28:38,06:20:45,69.0,6.866666666666667,0.0,0,0,1,1,0,0
21:59:54,05:41:00,88.0,7.683333333333334,0.0,0,0,1,1,0,1
22:56:22,06:28:43,83.0,7.533333333333333,0.0,0,0,1,1,0,1
22:57:35,06:20:38,72.0,7.383333333333334,0.0,0,0,1,1,0,0
22:59:58,07:46:48,96.0,8.766666666666667,59.0,0,0,1,1,0,0
22:17:12,06:30:48,72.0,8.216666666666667,62.0,0,0,1,1,0,0
22:07:28,05:30:48,80.0,7.383333333333334,63.0,0,0,1,1,1,1
23:10:23,06:00:42,73.0,6.833333333333333,62.0,0,0,1,1,0,1
21:57:39,05:30:46,83.0,7.55,0.0,0,0,0,1,0,0
22:15:24,05:00:10,74.0,6.733333333333333,0.0,0,0,1,1,0,1
22:33:40,06:30:54,87.0,7.95,0.0,0,0,1,1,0,1
23:26:02,06:20:47,69.0,6.9,0.0,0,0,1,1,0,1
22:25:29,06:20:36,81.0,7.916666666666667,0.0,0,0,1,1,0,1
01:20:50,07:46:30,58.0,6.416666666666667,59.0,0,0,1,1,0,1
22:20:20,06:20:11,68.0,7.983333333333333,0.0,0,0,0,1,0,0
21:23:47,06:19:46,64.0,8.916666666666666,0.0,0,0,1,1,0,1
23:03:32,06:20:45,84.0,7.283333333333333,57.0,0,0,1,1,0,1
22:19:31,05:11:26,75.0,6.85,0.0,0,0,1,1,0,0
22:51:20,05:01:02,70.0,6.15,0.0,0,0,1,1,1,0
22:10:17,05:31:02,86.0,7.333333333333333,68.0,0,0,1,1,0,0
21:20:30,05:00:36,86.0,7.666666666666667,61.0,0,1,0,1,0,1
22:17:33,05:45:41,79.0,7.466666666666667,0.0,0,1,1,1,0,1
21:57:33,06:10:41,93.0,8.216666666666667,67.0,0,1,0,1,0,1
00:08:26,08:23:03,77.0,8.233333333333333,0.0,0,0,1,0,0,0
22:07:01,06:09:53,80.0,8.033333333333333,52.0,0,0,1,0,0,0
22:32:48,06:10:41,75.0,7.616666666666667,0.0,0,0,1,1,0,1
22:20:47,05:40:53,84.0,7.333333333333333,0.0,0,1,1,1,0,0
21:07:49,05:45:44,100.0,8.616666666666667,0.0,0,0,1,1,0,1
22:19:20,06:20:02,72.0,8.0,56.0,0,0,1,1,0,1
22:06:14,05:29:49,80.0,7.383333333333334,0.0,0,0,1,0,0,1
21:41:31,05:43:31,82.0,8.016666666666667,0.0,0,0,1,1,0,1
22:33:13,06:01:00,79.0,7.45,0.0,0,0,1,1,0,0
22:44:12,07:00:31,76.0,8.266666666666667,0.0,0,0,1,0,0,0
23:53:45,08:27:19,79.0,8.55,71.0,0,0,1,1,0,0
23:49:43,08:13:49,85.0,8.4,65.0,0,0,1,1,0,0
21:44:08,05:35:23,69.0,7.85,0.0,0,0,1,0,0,0
22:17:03,05:45:29,74.0,7.466666666666667,0.0,0,1,1,1,0,0
22:18:45,06:20:45,66.0,8.016666666666667,0.0,0,0,1,0,0,1
22:44:29,06:20:25,72.0,7.583333333333333,0.0,0,1,1,1,1,0
22:10:58,05:28:34,73.0,7.283333333333333,0.0,0,0,1,1,0,1
22:00:46,05:30:32,76.0,7.483333333333333,0.0,0,0,1,1,0,1
21:56:26,05:34:59,78.0,7.633333333333333,0.0,0,0,1,1,1,0
22:46:50,06:35:37,75.0,7.8,0.0,0,0,1,1,0,1
21:13:40,06:29:37,77.0,9.25,0.0,0,0,1,1,0,0
21:33:27,06:23:55,79.0,8.833333333333334,0.0,0,0,1,0,0,0
22:17:12,08:14:54,79.0,9.95,0.0,0,0,1,0,0,1
22:06:59,06:30:14,85.0,8.383333333333333,0.0,0,0,1,1,0,1
22:27:55,06:38:49,88.0,8.166666666666666,0.0,0,0,1,0,0,0
22:58:16,06:28:13,83.0,7.483333333333333,0.0,0,0,1,1,0,1
22:02:27,05:23:02,84.0,7.333333333333333,0.0,0,0,1,1,0,1
22:11:17,05:26:31,76.0,7.25,0.0,0,0,1,1,0,1
21:47:34,06:06:40,88.0,8.316666666666666,0.0,0,0,1,1,0,1
22:58:22,06:19:07,78.0,7.333333333333333,0.0,0,0,1,0,0,0
22:02:40,05:27:42,82.0,7.416666666666667,0.0,0,0,1,1,0,1
21:47:43,05:20:45,72.0,7.55,0.0,0,0,1,0,0,1
22:54:38,06:20:45,79.0,7.433333333333334,0.0,0,0,1,0,0,1
22:17:56,06:53:46,74.0,8.583333333333334,0.0,0,1,1,0,0,1
23:45:36,07:35:42,84.0,7.833333333333333,0.0,0,0,1,0,0,0
22:55:30,07:35:48,91.0,8.666666666666666,0.0,0,0,0,1,0,0
00:44:15,07:45:22,68.0,7.016666666666667,0.0,0,0,1,1,0,0
22:43:49,06:40:40,77.0,7.933333333333334,0.0,0,0,1,1,0,1
21:57:50,05:31:30,66.0,7.55,0.0,0,0,1,0,0,1
23:41:34,05:11:40,38.0,5.5,0.0,0,0,1,0,0,0
22:07:58,05:53:25,84.0,7.75,0.0,0,1,1,0,0,0
22:07:07,05:25:39,76.0,7.3,0.0,0,0,1,0,0,1
22:20:30,05:32:48,70.0,7.2,0.0,0,0,1,0,0,1
21:33:26,06:24:29,90.0,8.85,0.0,0,1,1,0,0,1
22:47:46,06:26:50,77.0,7.65,0.0,0,0,1,1,0,1
23:12:47,07:41:40,69.0,8.466666666666667,0.0,0,0,1,0,0,0
22:04:12,06:23:53,85.0,8.316666666666666,0.0,0,0,1,0,0,0
22:18:26,06:25:24,94.0,8.1,0.0,0,0,1,0,0,1
21:59:00,05:43:33,88.0,7.733333333333333,0.0,0,0,0,1,0,1
00:15:25,06:35:57,68.0,6.333333333333333,0.0,0,0,0,1,0,1
23:33:23,07:50:56,92.0,8.283333333333333,0.0,0,0,1,0,0,0
22:19:47,05:45:34,64.0,7.416666666666667,0.0,0,0,0,1,0,0
21:55:44,06:22:29,78.0,8.433333333333334,0.0,0,0,0,1,0,1
23:22:16,05:50:28,70.0,6.466666666666667,0.0,0,0,0,1,0,1
22:15:14,06:21:26,95.0,8.1,0.0,0,0,1,1,0,1
22:01:33,06:17:35,90.0,8.266666666666667,0.0,0,0,0,1,0,1
23:20:01,07:31:36,98.0,8.183333333333334,0.0,0,0,0,1,0,0
23:08:20,06:19:25,70.0,7.183333333333334,0.0,0,0,1,1,0,0
22:50:22,06:22:58,75.0,7.533333333333333,0.0,0,0,0,1,0,1
21:40:38,06:25:07,91.0,8.733333333333333,0.0,0,0,0,1,0,1
22:40:25,05:49:39,79.0,7.15,0.0,0,0,0,1,0,0
21:35:17,05:34:15,92.0,7.966666666666667,0.0,0,0,0,1,0,1
01:33:16,07:50:21,69.0,6.283333333333333,0.0,0,0,1,0,0,1
23:44:03,07:51:57,83.0,7.116666666666666,0.0,0,0,0,1,0,0
22:47:36,05:40:43,82.0,6.883333333333333,0.0,0,0,0,1,0,1
22:16:43,05:46:07,79.0,7.483333333333333,0.0,0,0,0,1,0,1
22:41:40,06:25:27,85.0,7.716666666666667,0.0,0,0,1,1,0,1
22:25:40,07:05:26,90.0,8.65,0.0,0,0,1,0,0,1
22:46:35,07:08:48,98.0,8.366666666666667,0.0,0,0,1,1,0,0
